EVAL_GRP,STATECD_NWOS,EVAL_GRP_DESCR,START_INVYR,END_INVYR
12023,1,"ALABAMA 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2015,2023
22019,2.1,"ALASKA COASTAL 2019: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM",2009,2019
42021,4,"ARIZONA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE, VEG PROFILE",2012,2021
52023,5,"ARKANSAS 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2019,2023
62021,6,"CALIFORNIA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM",2012,2021
82021,8,"COLORADO 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE, VEG PROFILE",2012,2021
92021,9,"CONNECTICUT 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
102021,10,"DELAWARE 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
122021,12,"FLORIDA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2014,2021
132022,13,"GEORGIA 2022: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2015,2022
152019,15,"HAWAII 2019: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, SOIL",2019,2019
162021,16,"IDAHO 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE, VEG PROFILE",2012,2021
172022,17,"ILLINOIS 2022: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2016,2022
182021,18,"INDIANA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
192022,19,"IOWA 2022: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2016,2022
202021,20,"KANSAS 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
212020,21,"KENTUCKY 2020: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2014,2020
222021,22,"LOUISIANA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2015,2021
232022,23,"MAINE 2022: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2018,2022
242021,24,"MARYLAND 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
252021,25,"MASSACHUSETTS 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
262021,26,"MICHIGAN 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
272021,27,"MINNESOTA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2017,2021
282022,28,"MISSISSIPPI 2022: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2017,2022
292021,29,"MISSOURI 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
302020,30,"MONTANA 2020: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE, VEG PROFILE",2011,2020
312021,31,"NEBRASKA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
322021,32,"NEVADA 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE, VEG PROFILE",2012,2021
332021,33,"NEW HAMPSHIRE 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
342021,34,"NEW JERSEY 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2017,2021
352021,35,"NEW MEXICO 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE, VEG PROFILE",2012,2021
362021,36,"NEW YORK 2021: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2015,2021
372022,37,"NORTH CAROLINA 2022: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, INVASIVE",2016,2022
382022,38,"NORTH DAKOTA 2022: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM, REGENERATION, INVASIVE, VEG PROFILE, CROWN",2016,2022
